1	1	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
2	1	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
3	1	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
4	1	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
5	2	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
6	2	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
7	2	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
8	2	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
9	7	8	8	100	25	4754.4	75.64	839.45	70	100	100
10	7	8	8	100	25	4754.4	75.64	839.45	70	100	100
11	7	8	8	100	25	4754.4	75.64	839.45	70	100	100
12	13	12	10	197	68.95	6510	74.75	1159.93	30	180	197
13	13	12	10	197	68.95	6510	74.75	1159.93	30	180	197
14	13	12	10	197	68.95	6510	74.75	1159.93	30	180	197
15	14	1	1	0	0	0	0	0	0	0	0
16	15	4	2	12	2.4	571.2	94.74	72.68	10	12	12
17	15	4	2	12	2.4	571.2	94.74	72.68	10	12	12
18	15	4	2	12	2.4	571.2	94.74	72.68	10	12	12
19	15	4	2	12	2.4	571.2	94.74	72.68	10	12	12
20	15	4	2	12	2.4	571.2	94.74	72.68	10	12	12
21	15	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
22	16	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
23	18	48	48	400	100	2400	5.46	215.08	200	400	400
24	21	48	48	400	100	2400	5.46	215.08	200	400	400
25	22	1	1	50	0	0	0	0	50	50	50
26	22	1	1	50	0	0	0	0	50	50	50
27	22	1	1	50	0	0	0	0	50	50	50
28	22	1	1	50	0	0	0	0	50	50	50
29	22	1	1	50	0	0	0	0	50	50	50
30	22	1	1	50	0	0	0	0	50	50	50
31	23	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
32	23	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
33	23	24	48	350	140	7953.04	15.89	358.23	40	240	350
34	25	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
35	25	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
36	25	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
37	25	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
38	26	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
39	26	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
40	26	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
41	26	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
42	31	8	8	100	25	4754.4	75.64	839.45	70	100	100
43	31	8	8	100	25	4754.4	75.64	839.45	70	100	100
44	31	8	8	100	25	4754.4	75.64	839.45	70	100	100
45	37	12	10	197	68.95	6510	74.75	1159.93	30	180	197
46	37	12	10	197	68.95	6510	74.75	1159.93	30	180	197
47	37	12	10	197	68.95	6510	74.75	1159.93	30	180	197
48	38	1	1	0	0	0	0	0	0	0	0
49	39	4	2	12	2.4	571.2	94.74	72.68	10	12	12
50	39	4	2	12	2.4	571.2	94.74	72.68	10	12	12
51	39	4	2	12	2.4	571.2	94.74	72.68	10	12	12
52	39	4	2	12	2.4	571.2	94.74	72.68	10	12	12
53	39	4	2	12	2.4	571.2	94.74	72.68	10	12	12
54	39	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
55	40	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
56	42	48	48	400	100	2400	5.46	215.08	200	400	400
57	45	48	48	400	100	2400	5.46	215.08	200	400	400
58	46	1	1	50	0	0	0	0	50	50	50
59	46	1	1	50	0	0	0	0	50	50	50
60	46	1	1	50	0	0	0	0	50	50	50
61	46	1	1	50	0	0	0	0	50	50	50
